nome	issn1	issn2
Journal of Applied Oral Science	16787757	16787765
Journal of Coloproctology (Rio de Janeiro)	22379363	23176423
Journal of Inborn Errors of Metabolism and Screening	23264594	NA
Journal of Microwaves, Optoelectronics and Electromagnetic Applications	21791074	NA
Journal of Physical Education	24482455	NA
Journal of Seed Science	23171537	23171545
Journal of the Brazilian Chemical Society	01035053	16784790
Journal of Venomous Animals and Toxins including Tropical Diseases	16789199	NA
Kriterion: Revista de Filosofia	0100512X	19815336
Latin American Journal of Solids and Structures	16797817	16797825
Letras de Hoje	01013335	19847726
Linguagem em (Dis)curso	19824017	NA
Lua Nova: Revista de Cultura e Política	01026445	18070175
Machado de Assis em Linha	19836821	NA
Mana - Estudos de Antropologia Social	01049313	16784944
Manuscrito	01006045	2317630X
Matéria (Rio de Janeiro)	15177076	NA
Materials Research	15161439	19805373
MedicalExpress	23188111	23580429
Memórias do Instituto Oswaldo Cruz	00740276	16788060
Mercator (Fortaleza)	16768329	19842201
Motriz: Revista de Educação Física	19806574	NA
Nauplius	23582936	NA
Neotropical Ichthyology	16796225	19820224
Nova Economia	01036351	19805381
Novos estudos CEBRAP	01013300	19805403
Opinião Pública	01046276	18070191
Organizações & Sociedade	1413585X	19849230
Ornamental Horticulture	2447536X	NA
Paidéia (Ribeirão Preto)	0103863X	19824327
Pandaemonium Germanicum	14141906	19828837
Papéis Avulsos de Zoologia	00311049	18070205
Perspectivas em Ciência da Informação	14139936	19815344
Pesquisa Agropecuária Brasileira	0100204X	16783921
Pesquisa Agropecuária Tropical	15176398	19834063
Pesquisa Operacional	01017438	16785142
Pesquisa Veterinária Brasileira	0100736X	16785150
Physis: Revista de Saúde Coletiva	01037331	18094481
Planta Daninha	01008358	18069681
Polímeros	01041428	16785169
Pro-Posições	19806248	NA
Production	01036513	19805411
Psico-USF	21753563	NA
Psicologia & Sociedade	01027182	18070310
Psicologia em Estudo	14137372	18070329
Psicologia Escolar e Educacional	21753539	NA
Psicologia USP	01036564	16785177
Psicologia: Ciência e Profissão	14149893	19823703
Psicologia: Reflexão e Crítica	01027972	16787153
Psicologia: Teoria e Pesquisa	01023772	18063446
Química Nova	01004042	16787064
Radiologia Brasileira	01003984	16787099
RAM. Revista de Administração Mackenzie	16786971	NA
RAUSP Management Journal	25310488	NA
RBRH	1414381X	23180331
REAd. Revista Eletrônica de Administração (Porto Alegre)	19804164	14132311
Religião & Sociedade	01008587	19840438
REM - International Engineering Journal	2448167X	NA
REMHU: Revista Interdisciplinar da Mobilidade Humana 	19808585	22379843
Research on Biomedical Engineering	24464732	24464740
Revista Ambiente & Água	1980993X	NA
Revista Árvore	01006762	18069088
Revista Bioética	19838042	19838034
Revista Brasileira de Anestesiologia	00347094	1806907X
Revista Brasileira de Ciência do Solo	18069657	NA
Revista Brasileira de Ciência Política	01033352	21784884
Revista Brasileira de Ciências do Esporte	01013289	21793255
Revista Brasileira de Ciências Sociais	01026909	18069053
Revista Brasileira de Cineantropometria & Desempenho Humano	14158426	19800037
Revista Brasileira de Economia	00347140	18069134
Revista Brasileira de Educação	14132478	1809449X
Revista Brasileira de Educação Especial	14136538	19805470
Revista Brasileira de Educação Médica	01005502	19815271
Revista Brasileira de Enfermagem	00347167	19840446
Revista Brasileira de Engenharia Agrícola e Ambiental	14154366	18071929
Revista Brasileira de Ensino de Física	18061117	18069126
Revista Brasileira de Entomologia	00855626	18069665
Revista Brasileira de Epidemiologia	1415790X	19805497
Revista Brasileira de Estudos da Presença	22372660	NA
Revista Brasileira de Estudos de População	01023098	19805519
Revista Brasileira de Estudos Pedagógicos	00347183	21766681
Revista Brasileira de Estudos Urbanos e Regionais	15174115	23171529
Revista Brasileira de Farmacognosia	0102695X	1981528X
Revista Brasileira de Fruticultura	01002945	18069967
Revista Brasileira de Geriatria e Gerontologia	18099823	19812256
Revista Brasileira de Gestão de Negócios	18064892	19830807
Revista Brasileira de Ginecologia e Obstetrícia	01007203	18069339
Revista Brasileira de História	01020188	18069347
Revista Brasileira de História da Educação	15195902	22380094
Revista Brasileira de Linguística Aplicada	19846398	NA
Revista Brasileira de Medicina do Esporte	15178692	18069940
Revista Brasileira de Meteorologia	01027786	19824351
Revista Brasileira de Oftalmologia	00347280	19828551
Revista Brasileira de Ortopedia	01023616	19824378
Revista Brasileira de Parasitologia Veterinária	0103846X	19842961
Revista Brasileira de Pesquisa em Turismo	19826125	NA
Revista Brasileira de Política Internacional	00347329	19833121
Revista Brasileira de Reumatologia	04825004	18094570
Revista Brasileira de Saúde e Produção Animal	15199940	NA
